"alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
1.94529493614415,1.14548731326967,3.08041691837908,2.29595029046597,2.6007184069735,2.14586123335853,4.39352574645597,3.3766937486957,2.95014553810943,2.47138751741593,3.39008181125546,3.50846703393493,3.40881985230247,6.38977684409957,2.04948630093588,3.07567133530288,4.2191175525321,2.6706336894808,3.46277887785642,3.87577370971692,3.18651411878242,5.01663582106192,2.65449677061906,2.11276665910321,3.68578423866126,2.73786483348688,3.29125406114535,4.97279954308689,3.87712884380306,2.8811900000624,2.43984526320815,3.16271019719091,2.83894429947852,3.16001979301974,5.23846778007727,2.68671032799901,3.99171546180096,3.70538119668424,2.71860913819266,2.16536656133344,2.70888952094334,2.54004609130945,2.50066657139916,4.18829958625033,2.60958209787388,3.45992516505188,2.18364298187415,4.51105702052868,2.21442058306063,1.83411191133586
1.92188783869971,1.27540319803517,3.06371980378976,2.33009170122194,2.57359344369899,2.19962106957734,4.28000226274656,3.32602979905765,2.87280325920445,2.40964655683305,3.35659288623264,3.48140064177767,3.32974371468997,6.14228027967874,2.08940399562446,3.03299930912903,4.10171553151114,2.64900926690733,3.37208224930147,3.75526120424848,3.17522677064852,4.863527046403,2.63781583609389,2.09820922769845,3.58677120012291,2.72692579094483,3.21990092432197,4.89403144254574,3.76435256394388,3.00131085206444,2.42296337608871,3.14525616147316,2.76464344293462,3.11315998337569,5.10292668286712,2.66209783543611,3.95473552336874,3.62013061230366,2.68724325513402,2.12275010329557,2.65365775921624,2.47149932828025,2.50309934586587,4.15275764754546,2.65119304437596,3.37923913589281,2.20169281480909,4.30636475197773,2.1896335843959,1.84451016537304
1.89907832077041,1.3995065640018,3.04779217774983,2.36259551827804,2.54765098940646,2.25111967122127,4.17205736500458,3.27869110908957,2.79869705983692,2.35064743525615,3.32494809381911,3.4552130893607,3.25385255208891,5.90483644909769,2.12802747116157,2.99256555495003,3.98939436616963,2.62829260216682,3.28726492696371,3.64157663839256,3.16587112987867,4.71712777140761,2.62174275307434,2.08358933942242,3.49224358268314,2.71612482941982,3.15247094709195,4.8182382914765,3.65789954038982,3.11954055691373,2.4064938929308,3.12965190087747,2.69454495833713,3.06815670960178,4.97380810397584,2.63854570562902,3.91952005410951,3.53958173567755,2.65845140855384,2.08214154989941,2.60151897718926,2.40607820780017,2.50518679073784,4.11815115588424,2.69304880406479,3.30307419176256,2.21904279763704,4.11199198547872,2.16643676040745,1.85427646380938
1.87686724683221,1.51790706234624,3.03262079455952,2.39349461460582,2.52287090257933,2.30040276028826,4.06959739265931,3.23461383815192,2.72777643896307,2.2943533193058,3.29511275713749,3.42989489172293,3.18109866927645,5.67727796819084,2.16538073425069,2.95433047702459,3.88207135075184,2.60847229447674,3.20821631624475,3.53458788829895,3.15840664560672,4.57732199639449,2.60627215960111,2.06892071551687,3.40212288144205,2.7054739587954,3.08889236123,4.74537148748192,3.55765157800872,3.2358891026399,2.39043917424476,3.11585883919469,2.62857673528627,3.02498940447543,4.85099876769764,2.61603833328886,3.88603668063232,3.46364628672821,2.63218579768158,2.04351803540054,2.55242141617793,2.34373366521042,2.5069411437543,4.08446953020695,2.73513201515945,3.23134743877144,2.23570627949258,3.92775102075172,2.1448039557988,1.86343550397422
1.85525548136104,1.6307143442452,3.01819240851902,2.42282186317688,2.49923304170104,2.34751605877628,3.97252868514005,3.19373414560515,2.65999089553915,2.24072737560258,3.26705219931037,3.40543656390323,3.11143437102974,5.45943745279262,2.20148779159527,2.91825447961142,3.77966377950207,2.58953694305457,3.13482582254622,3.43416283011744,3.15279276696652,4.44399372168241,2.59139869371491,2.05421707722355,3.31633059149972,2.69498518895513,3.02909339851084,4.67538242816479,3.46349048166842,3.35036647727257,2.37480158054093,3.10383840021567,2.56666666338226,2.98363750077408,4.73438539832673,2.59456011312678,3.85425302954625,3.39223598537791,2.60839862174668,2.00685669405449,2.50631331749779,2.28441663585224,2.50837464265451,4.05170218945384,2.77742531587903,3.16397598302974,2.25169660951032,3.75345415751675,2.12470901527347,1.8720119831969
1.83424388883285,1.73803806087534,3.00449377392855,2.45061013696277,2.47671726525502,2.39250528868325,3.88075758187611,3.1559881908097,2.59528992852138,2.18973277076707,3.24073174346035,3.38182862094049,3.04481196212595,5.25114751873746,2.23637264989879,2.88429796696927,3.6820889466646,2.57147514711776,3.06698285126976,3.34016933999781,3.14898894309193,4.31702694759012,2.57711699345647,2.03949214578419,3.23478820795626,2.68467052978255,2.97300229070919,4.60822251112786,3.37529805623674,3.46298266884136,2.35958347232966,3.09355200773129,2.50874263222533,2.94408043127514,4.6238547201573,2.57409543985392,3.82413672746035,3.32526255154895,2.58704207997858,1.97213466011682,2.46314292246438,2.22807805506683,2.50949952517772,4.01983855256517,2.81991134444261,3.10087693064777,2.26702713682486,3.58891369549387,2.10612578353496,1.88003059880678
1.81383333372357,1.83998786341336,2.99151164508833,2.47689230893508,2.4553034317247,2.43541617200714,3.79419042229678,3.12131213312602,2.53362303686601,2.14133267141982,3.21611671271005,3.35906157787361,2.98118374734221,5.05224078185978,2.2700593158647,2.85242134335685,3.5892641464837,2.55427550588379,3.00457680781698,3.25247529408984,3.1469546231168,4.19630567443638,2.56342169686648,2.02475964244055,3.15741722591176,2.67454199116122,2.92054726959975,4.54384313397392,3.29295610658154,3.5737476653759,2.34478721012129,3.08496108553238,2.45473253141571,2.90629762875603,4.51929345748357,2.55462870818142,3.79565540098368,3.26263770516361,2.56806837160674,1.93932906784309,2.42285847239322,2.17466885819543,2.51032802906317,3.98886803848121,2.86257273906928,3.04196738773585,2.28171121057081,3.43394193440312,2.0890281052868,1.8875160481332
1.79402468050916,1.93667340303595,2.97923277629856,2.50170125206537,2.43497139959352,2.4762944307459,3.71273354583134,3.08964213191456,2.47493971952927,2.09549024418141,3.19317243018206,3.33712594974148,2.92050203145569,4.862549857994,2.30257179619648,2.82258501303288,3.50110667320368,2.53792661857013,2.94749709758951,3.17094856854332,3.14664925617499,4.08171390253993,2.55030744198567,2.01003328843437,3.08413914046632,2.6646115829747,2.87165656695724,4.48219569430571,3.21634643757063,3.68267145490581,2.33041515442617,3.0780270574098,2.40456425055361,2.87026852599419,4.42058833459975,2.53614431282041,3.76877667672529,3.20427316614418,2.5514296958606,1.90841705148885,2.38540820859987,2.12413998057927,2.51087239205011,3.95878006614222,2.90539213797811,2.98716446040429,2.29576217988276,3.28835117396454,2.0733898252325,1.89449302850549
1.77481879366555,2.02820433091979,2.96764392185946,2.52506983932521,2.41570102734489,2.51518578689745,3.6362932919091,3.06091434653576,2.41918947546741,2.05216865567242,3.17186421899898,3.31601225158298,2.86271911924354,4.68190736297454,2.33393409759759,2.79474938025608,3.4175338210688,2.52241708439425,2.89563312598898,3.09545703950802,3.14803229140036,3.97313563221953,2.53776886685474,1.99532680500741,3.01487544672004,2.65489131510653,2.82625841455637,4.42323158972602,3.14535085407186,3.7897640254607,2.31646966575464,3.07271134715442,2.35816567923927,2.83597255576704,4.32762607580004,2.51862664848204,3.74346818129426,3.15008065441293,2.53707825196961,1.87937574530965,2.35074037239985,2.07644235755955,2.51114485187779,3.92956405448844,2.94835217938819,2.93638525476337,2.30919339389531,3.15195371389818,2.05918478807557,1.90098623725301
1.75621653766869,2.11469029824158,2.95673183607124,2.54703094368618,2.39747217346226,2.55213596245977,3.56477599995934,3.03506493635009,2.36632180363665,2.01133107251341,3.15215740228343,3.295710998437,2.80778731548291,4.51014591263584,2.3641702267715,2.76887484928519,3.33846288432337,2.50773550257361,2.84887429841702,3.02586858313374,3.15106317792675,3.87045486379394,2.52580060951441,1.98065391340141,2.94954763977302,2.64539319744029,2.78428104417186,4.3669022178376,3.07985116095307,3.89503536507021,2.30295310461705,3.06897537855708,2.31546470707291,2.803389150852,4.24029340537864,2.50206010987744,3.71969754129962,3.09997188989217,2.52496623916322,1.85218228356105,2.3188032051087,2.0315269244775,2.51115764628545,3.90120942246016,2.99143550151861,2.88954687692342,2.32201820174306,3.02456185392409,2.04638683851953,1.90702037170509
